dtstart,dtend,uid,Matiere,Enseignants,TD,Salle,Type,Memo
2023-12-21T10:30:00Z,2023-12-21T12:00:00Z,Cours-29706-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,Evaluation,
2023-12-14T12:00:00Z,2023-12-14T15:00:00Z,Cours-30340-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-11-06T13:30:00Z,2023-11-06T15:00:00Z,Cours-30940-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,"M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-09-12T11:00:00Z,2023-09-12T12:30:00Z,Cours-31014-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Amphi Blaise,CM,
2023-10-11T06:30:00Z,2023-10-11T09:30:00Z,Cours-31202-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1",Amphi Ada,CM,
2023-12-20T12:00:00Z,2023-12-20T15:00:00Z,Cours-31239-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-09-21T14:00:00Z,2023-09-21T17:00:00Z,Cours-31240-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,M1-ILSEN-cla-Gr1,Stat 1 = Info - C 137,TP,
2023-12-08T12:00:00Z,2023-12-08T13:30:00Z,Cours-31263-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-12-15T12:00:00Z,2023-12-15T13:30:00Z,Cours-31263-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-12-06T15:00:00Z,2023-12-06T18:00:00Z,Cours-31632-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-12-07T16:30:00Z,2023-12-07T18:00:00Z,Cours-31806-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1",Amphi Ada,Evaluation,
2023-12-14T15:00:00Z,2023-12-14T18:00:00Z,Cours-31918-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-12-06T09:00:00Z,2023-12-06T12:00:00Z,Cours-32068-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,RES = C 132 Reseaux,TP,
2023-12-21T13:30:00Z,2023-12-21T15:00:00Z,Cours-33440-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S6 = C 022,Evaluation,NE PAS DEPLACER
2023-12-22T15:00:00Z,2023-12-22T18:00:00Z,Cours-33494-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,Type : TD,Amphi Ada,,NE PAS DEPLACER
2023-11-24T09:00:00Z,2023-11-24T12:00:00Z,Cours-33514-22-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2","Salles : CERI, Stat 2 = Info - C 136, Stat 3 = Info - C 135",TP,
2023-12-01T09:00:00Z,2023-12-01T12:00:00Z,Cours-33514-23-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2","Salles : Stat 1 = Info - C 137, Stat 2 = Info - C 136",TP,
2023-12-08T09:00:00Z,2023-12-08T12:00:00Z,Cours-33514-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2","Salles : Stat 1 = Info - C 137, Stat 2 = Info - C 136",TP,
2023-10-17T14:00:00Z,2023-10-17T17:00:00Z,Cours-35391-17-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-11-07T15:00:00Z,2023-11-07T18:00:00Z,Cours-35437-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE MSI,MARTIN Yannis,M1-ILSEN-cla-Gr1,Stat9 = Info - C 026,TP,
2023-10-20T06:30:00Z,2023-10-20T09:30:00Z,Cours-35448-17-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat 8 = Info - C 127,TP,
2023-09-19T12:30:00Z,2023-09-19T14:00:00Z,Cours-37212-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1",Amphi Blaise,CM,
2023-11-15T07:30:00Z,2023-11-15T10:30:00Z,Cours-37512-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE MSI,MARTIN Yannis,M1-ILSEN-cla-Gr1,Stat 8 = Info - C 127,TP,
2023-12-22T13:30:00Z,2023-12-22T15:00:00Z,Cours-37759-26-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-16T13:30:00Z,2023-11-16T15:00:00Z,Cours-37892-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-09-13T12:30:00Z,2023-09-13T14:00:00Z,Cours-38377-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Amphi Ada,CM,
2023-11-09T09:00:00Z,2023-11-09T12:00:00Z,Cours-39403-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,"M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-12-13T07:30:00Z,2023-12-13T10:30:00Z,Cours-40483-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-12-04T13:30:00Z,2023-12-04T16:30:00Z,Cours-40486-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat 2 = Info - C 136,TP,
2023-12-11T13:30:00Z,2023-12-11T16:30:00Z,Cours-40486-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat 2 = Info - C 136,TP,
2024-01-12T12:00:00Z,2024-01-12T15:00:00Z,Cours-40488-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2","Salles : Stat 1 = Info - C 137, Stat 2 = Info - C 136",TP,
2023-11-21T09:00:00Z,2023-11-21T12:00:00Z,Cours-40496-22-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,"M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2","Salles : Stat 6 = Info - C 129, Stat 7 = Info - C 128",TP,
2023-10-11T14:00:00Z,2023-10-11T17:00:00Z,Cours-40501-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,M1-ILSEN-cla-Gr1,Stat9 = Info - C 026,TP,
2023-09-27T06:30:00Z,2023-09-27T09:30:00Z,Cours-40506-14-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat 4 = Info - C 131,TP,
2023-11-10T15:00:00Z,2023-11-10T18:00:00Z,Cours-40509-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat9 = Info - C 026,TP,
2023-11-17T09:00:00Z,2023-11-17T12:00:00Z,Cours-40519-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 URBANISATION,LABRAK Yanis,M1-ILSEN-cla-Gr1,Stat9 = Info - C 026,TP,
2023-09-27T11:00:00Z,2023-09-27T12:30:00Z,Cours-41766-14-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,M1-ILSEN-cla-Gr1,S3 = C 036,TP,
2023-11-23T15:00:00Z,2023-11-23T18:00:00Z,Cours-42527-22-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-11-30T15:00:00Z,2023-11-30T18:00:00Z,Cours-42527-23-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,M1-ILSEN-cla-Gr1,CISCO = C 133 reseaux,TP,
2023-11-16T15:00:00Z,2023-11-16T18:00:00Z,Cours-44246-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,M1-ILSEN-cla-Gr1,Stat9 = Info - C 026,TP,
2024-01-10T13:30:00Z,2024-01-10T17:30:00Z,Cours-44776-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 PROJET,"BENSLIMANE Abderrahim, BONASTRE Jean-Francois, FIGUEIREDO Rosa, FREDOUILLE Corinne, GOZLAN Philippe, HADDAD Majed, HAYEL Yezekael, HUET Stephane, JIMENEZ Tania, JOURLIN Pierre, LEFEVRE Fabrice, MORCHID Mohamed, NOCERA Pascal, PUY CAZCARRA Emmanuel, TORRES MORENO Juan manuel, VERNET Mathilde",Type : CM/TD,"Salles : AGRB020 ( HDMI ), AGRB021 ( HDMI ), AGRB022 ( HDMI ), AGRB023 ( HDMI )",,SOUTENANCE
2024-06-19T06:30:00Z,2024-06-19T16:00:00Z,Cours-46766-52-M1-ILSEN-cla-Gr1-Index-Education,UE PROJET 2,"BENSLIMANE Abderrahim, BONASTRE Jean-Francois, FIGUEIREDO Rosa, FREDOUILLE Corinne, GOZLAN Philippe, HADDAD Majed, HAYEL Yezekael, HUET Stephane, JIMENEZ Tania, JOURLIN Pierre, LEFEVRE Fabrice, MORCHID Mohamed, NOCERA Pascal, PUY CAZCARRA Emmanuel, TORRES MORENO Juan manuel, VERNET Mathilde","M1-IA-IL-CLA, M1-IA-SI-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla, M1IL-CMI-cla","Salles : S2 = C 040, S3 = C 036, S4 = C 034, S7 = C 032",Oraux,Soutenances de projet Master CERI
2024-03-20T16:30:00Z,2024-03-20T18:00:00Z,Cours-74215-39-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,
2024-03-22T08:00:00Z,2024-03-22T12:00:00Z,Cours-53238-39-M1-ILSEN-cla-Gr1-Index-Education,UE PROJET 2,"HADDAD Majed, VERNET Mathilde",Type : CM/TD,S5 = C 024,,1ere rencontre
2024-02-05T07:30:00Z,2024-02-05T10:30:00Z,Cours-53277-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,FERREIRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-06T15:00:00Z,2024-02-06T18:00:00Z,Cours-53299-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 7 = Info - C 128,TP,
2024-04-08T06:30:00Z,2024-04-08T08:00:00Z,Cours-53314-42-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,
2024-02-12T07:30:00Z,2024-02-12T10:30:00Z,Cours-53317-34-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 8 = Info - C 127,TP,
2024-03-04T07:30:00Z,2024-03-04T10:30:00Z,Cours-53317-37-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 6 = Info - C 129,TP,
2024-03-11T07:30:00Z,2024-03-11T10:30:00Z,Cours-53317-38-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 7 = Info - C 128,TP,
2024-03-18T07:30:00Z,2024-03-18T10:30:00Z,Cours-53317-39-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,
2024-01-29T15:00:00Z,2024-01-29T18:00:00Z,Cours-53326-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-04-15T08:00:00Z,2024-04-15T09:30:00Z,Cours-53327-43-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Amphi Ada,Evaluation,
2024-02-01T16:30:00Z,2024-02-01T18:00:00Z,Cours-53339-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-07T16:30:00Z,2024-02-07T18:00:00Z,Cours-53340-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-08T07:30:00Z,2024-02-08T09:00:00Z,Cours-53341-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-01T09:00:00Z,2024-02-01T12:00:00Z,Cours-53344-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,TP3
2024-02-01T13:30:00Z,2024-02-01T16:30:00Z,Cours-53345-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,TP4
2024-01-31T13:30:00Z,2024-01-31T16:30:00Z,Cours-53351-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,TP2
2024-02-07T13:30:00Z,2024-02-07T16:30:00Z,Cours-53352-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,TP6
2024-01-31T09:00:00Z,2024-01-31T12:00:00Z,Cours-53353-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,TP1
2024-02-07T09:00:00Z,2024-02-07T12:00:00Z,Cours-53354-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,TP5
2024-02-08T09:00:00Z,2024-02-08T12:00:00Z,Cours-53362-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,TP7
2024-02-08T13:30:00Z,2024-02-08T16:30:00Z,Cours-53364-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,TP8
2024-01-31T16:30:00Z,2024-01-31T18:00:00Z,Cours-53400-32-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-14T07:30:00Z,2024-02-14T09:00:00Z,Cours-53401-34-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S4 = C 034,CM,
2024-02-21T09:00:00Z,2024-02-21T12:00:00Z,Cours-53406-35-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,TP,TP9
2024-02-21T13:30:00Z,2024-02-21T16:30:00Z,Cours-53407-35-M1-ILSEN-cla-Gr1-Index-Education,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,TP10
2024-02-22T13:30:00Z,2024-02-22T16:30:00Z,Cours-53412-35-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 3 = Info - C 135,TP,
2024-02-22T07:30:00Z,2024-02-22T12:00:00Z,Cours-53414-35-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 3 = Info - C 135,TP,
2024-02-16T07:30:00Z,2024-02-16T12:00:00Z,Cours-53471-34-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 6 = Info - C 129,TP,
2024-03-08T12:00:00Z,2024-03-08T15:00:00Z,Cours-80842-37-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 2 = Info - C 136,Evaluation,
2024-03-07T07:30:00Z,2024-03-07T09:00:00Z,Cours-53493-37-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S5 = C 024,CM,
2024-03-07T12:00:00Z,2024-03-07T15:00:00Z,Cours-53503-37-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",S5 = C 024,CM,
2024-02-15T09:00:00Z,2024-02-15T12:00:00Z,Cours-53506-34-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MIDDLEWARE,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 3 = Info - C 135,TP,
2024-03-14T07:30:00Z,2024-03-14T10:30:00Z,Cours-53510-38-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-03-21T13:30:00Z,2024-03-21T16:30:00Z,Cours-53511-39-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-03-28T13:30:00Z,2024-03-28T16:30:00Z,Cours-53511-40-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-03-28T09:00:00Z,2024-03-28T12:00:00Z,Cours-53514-40-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-04-04T08:00:00Z,2024-04-04T11:00:00Z,Cours-53514-41-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-04-04T12:30:00Z,2024-04-04T15:30:00Z,Cours-53517-41-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-03-20T09:00:00Z,2024-03-20T12:00:00Z,Cours-53582-39-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 3 = Info - C 135,TP,
2024-03-25T07:30:00Z,2024-03-25T10:30:00Z,Cours-53584-40-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 1 = Info - C 137,TP,
2024-04-02T06:30:00Z,2024-04-02T09:30:00Z,Cours-53585-41-M1-ILSEN-cla-Gr1-Index-Education,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,"M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2",Stat 4 = Info - C 131,TP,
2024-02-05T16:30:00Z,2024-02-05T18:00:00Z,Cours-53628-33-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,Type : TD,S3 = C 036,,
